Port,,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,
PortE,PE10,,,TIM3_CH1,,,,,,,,,,,,,EVENTOUT,
PortE,PE11,,,TIM3_CH2,,,,,,,,,,,,,EVENTOUT,
PortE,PE12,,,,,,SPI3_NSS,,,,,,,,,,EVENTOUT,
PortE,PE13,,,,,,SPI3_SCK,,,,,,,,,,EVENTOUT,
PortE,PE14,,,,,,SPI3_MISO,,,,,,,,,,EVENTOUT,
PortE,PE15,,,,,,SPI3_MOSI,,,,,,,,,,EVENTOUT,
PortE,PE16,,,TIM3_CH3,,,,,,,,,,,,,EVENTOUT,
PortE,PE17,,,TIM3_CH4,,,,,,,,,,,,,EVENTOUT,
PortE,PE18,,,,,I2C3_SDA,,,,,,,,,,,EVENTOUT,
PortE,PE19,,,,,I2C3_SCL,,,,,,,,,,,EVENTOUT,
PortE,PE20,,,,,,,,UART2_RX,,,,,,,,EVENTOUT,
PortE,PE21,,,,,,,,UART2_TX,,,,,,,,EVENTOUT,
PortE,PE22,,,TIM6_CH1,,,,,UART5_RX,,,,,,,,EVENTOUT,
PortE,PE23,,,TIM6_CH2,,,,,UART5_TX,,,,,,,,EVENTOUT,
